n,base_correct,guided_correct,base_acc,guided_acc,delta_acc,delta_ci95_low,delta_ci95_high,base_unsupported_rate,guided_unsupported_rate,unsupported_delta,intervention_rate,intervention_precision,false_intervention_rate,helped,harmed,net,actions,suite,seed,condition
900,302,302,0.335556,0.335556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 900}",external_generalization_v1,seed13,base
900,302,382,0.335556,0.424444,0.088889,0.070286,0.107492,0.0,0.0,0.0,0.155556,0.928571,0.071429,80,0,80,"{""finalize"": 760, ""force_grounded_step"": 50, ""say_unknown"": 90}",external_generalization_v1,seed13,guided_v10_noharm
900,302,382,0.335556,0.424444,0.088889,0.070286,0.107492,0.0,0.0,0.0,0.266667,0.958333,0.041667,80,0,80,"{""finalize"": 660, ""say_unknown"": 240}",external_generalization_v1,seed13,guided_v12_hardened
900,302,302,0.335556,0.335556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 900}",external_generalization_v1,seed13,router_off
900,302,302,0.335556,0.335556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 900}",external_generalization_v1,seed17,base
900,302,322,0.335556,0.357778,0.022222,0.012586,0.031858,0.0,0.0,0.0,0.033333,0.666667,0.333333,20,0,20,"{""finalize"": 870, ""say_unknown"": 30}",external_generalization_v1,seed17,guided_v10_noharm
900,302,322,0.335556,0.357778,0.022222,0.012586,0.031858,0.0,0.0,0.0,0.2,0.944444,0.055556,20,0,20,"{""finalize"": 720, ""say_unknown"": 180}",external_generalization_v1,seed17,guided_v12_hardened
900,302,302,0.335556,0.335556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 900}",external_generalization_v1,seed17,router_off
900,302,302,0.335556,0.335556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 900}",external_generalization_v1,seed23,base
900,302,312,0.335556,0.346667,0.011111,0.004259,0.017963,0.0,0.0,0.0,0.022222,0.5,0.5,10,0,10,"{""finalize"": 880, ""say_unknown"": 20}",external_generalization_v1,seed23,guided_v10_noharm
900,302,312,0.335556,0.346667,0.011111,0.004259,0.017963,0.0,0.0,0.0,0.188889,0.941176,0.058824,10,0,10,"{""finalize"": 730, ""say_unknown"": 170}",external_generalization_v1,seed23,guided_v12_hardened
900,302,302,0.335556,0.335556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 900}",external_generalization_v1,seed23,router_off
300,93,93,0.31,0.31,0.0,0.0,0.0,0.013333,0.013333,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 300}",internal_global_heldout,seed13,base
300,93,141,0.31,0.47,0.16,0.118445,0.201555,0.013333,0.013333,0.0,0.216667,0.784615,0.215385,48,0,48,"{""finalize"": 235, ""force_grounded_step"": 6, ""say_unknown"": 59}",internal_global_heldout,seed13,guided_v10_noharm
300,93,142,0.31,0.473333,0.163333,0.121431,0.205235,0.013333,0.013333,0.0,0.22,0.787879,0.212121,49,0,49,"{""finalize"": 234, ""force_grounded_step"": 6, ""say_unknown"": 60}",internal_global_heldout,seed13,guided_v12_hardened
300,93,141,0.31,0.47,0.16,0.118445,0.201555,0.013333,0.013333,0.0,0.17,1.0,0.0,48,0,48,"{""finalize"": 249, ""force_grounded_step"": 3, ""say_unknown"": 48}",internal_global_heldout,seed13,oracle_noharm
300,93,93,0.31,0.31,0.0,0.0,0.0,0.013333,0.013333,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 300}",internal_global_heldout,seed13,router_off
300,93,93,0.31,0.31,0.0,0.0,0.0,0.013333,0.013333,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 300}",internal_global_heldout,seed17,base
300,93,142,0.31,0.473333,0.163333,0.121431,0.205235,0.013333,0.013333,0.0,0.22,0.787879,0.212121,49,0,49,"{""finalize"": 234, ""force_grounded_step"": 6, ""say_unknown"": 60}",internal_global_heldout,seed17,guided_v10_noharm
300,93,142,0.31,0.473333,0.163333,0.121431,0.205235,0.013333,0.013333,0.0,0.22,0.787879,0.212121,49,0,49,"{""finalize"": 234, ""force_grounded_step"": 6, ""say_unknown"": 60}",internal_global_heldout,seed17,guided_v12_hardened
300,93,142,0.31,0.473333,0.163333,0.121431,0.205235,0.013333,0.013333,0.0,0.173333,1.0,0.0,49,0,49,"{""finalize"": 248, ""force_grounded_step"": 3, ""say_unknown"": 49}",internal_global_heldout,seed17,oracle_noharm
