n,base_correct,guided_correct,base_acc,guided_acc,delta_acc,delta_ci95_low,delta_ci95_high,base_unsupported_rate,guided_unsupported_rate,unsupported_delta,intervention_rate,intervention_precision,false_intervention_rate,helped,harmed,net,actions,suite,condition,student_id
900,441,441,0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 900}",external_generalization_v1,base,qwen3_17b
900,315,315,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 900}",external_generalization_v1,base,smollm2_17b
900,150,150,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 900}",external_generalization_v1,base,tinyllama_11b
900,441,501,0.49,0.556667,0.066667,0.050361,0.082973,0.0,0.0,0.0,0.1,0.666667,0.333333,60,0,60,"{""finalize"": 810, ""say_unknown"": 90}",external_generalization_v1,guided_v10_noharm,qwen3_17b
900,315,315,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 900}",external_generalization_v1,guided_v10_noharm,smollm2_17b
900,150,200,0.166667,0.222222,0.055556,0.040582,0.070529,0.0,0.0,0.0,0.111111,1.0,0.0,50,0,50,"{""finalize"": 800, ""force_grounded_step"": 50, ""say_unknown"": 50}",external_generalization_v1,guided_v10_noharm,tinyllama_11b
900,441,501,0.49,0.556667,0.066667,0.050361,0.082973,0.0,0.0,0.0,0.266667,0.875,0.125,60,0,60,"{""finalize"": 660, ""say_unknown"": 240}",external_generalization_v1,guided_v12_hardened,qwen3_17b
900,315,315,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,1.0,0.0,0,0,0,"{""finalize"": 750, ""say_unknown"": 150}",external_generalization_v1,guided_v12_hardened,smollm2_17b
900,150,200,0.166667,0.222222,0.055556,0.040582,0.070529,0.0,0.0,0.0,0.222222,1.0,0.0,50,0,50,"{""finalize"": 700, ""say_unknown"": 200}",external_generalization_v1,guided_v12_hardened,tinyllama_11b
900,441,441,0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 900}",external_generalization_v1,router_off,qwen3_17b
900,315,315,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 900}",external_generalization_v1,router_off,smollm2_17b
900,150,150,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 900}",external_generalization_v1,router_off,tinyllama_11b
