n,base_correct,guided_correct,base_acc,guided_acc,delta_acc,delta_ci95_low,delta_ci95_high,base_unsupported_rate,guided_unsupported_rate,unsupported_delta,intervention_rate,intervention_precision,false_intervention_rate,helped,harmed,net,actions,suite,seed,condition
1200,224,224,0.186667,0.186667,0.0,0.0,0.0,0.001667,0.001667,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 1200}",external_generalization_v1,seed13,base
1200,224,232,0.186667,0.193333,0.006667,0.001019,0.012314,0.001667,0.001667,0.0,0.1775,0.906103,0.093897,10,2,8,"{""finalize"": 987, ""force_grounded_step"": 56, ""rollback"": 156, ""say_unknown"": 1}",external_generalization_v1,seed13,guided_v10_noharm
1200,224,232,0.186667,0.193333,0.006667,-0.000256,0.013589,0.001667,0.001667,0.0,0.185,0.896396,0.103604,13,5,8,"{""finalize"": 978, ""force_grounded_step"": 56, ""rollback"": 153, ""say_unknown"": 13}",external_generalization_v1,seed13,guided_v12_hardened
1200,224,224,0.186667,0.186667,0.0,0.0,0.0,0.001667,0.001667,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 1200}",external_generalization_v1,seed13,router_off
1200,224,224,0.186667,0.186667,0.0,0.0,0.0,0.001667,0.001667,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 1200}",external_generalization_v1,seed17,base
1200,224,235,0.186667,0.195833,0.009167,0.002859,0.015474,0.001667,0.001667,0.0,0.2275,0.92674,0.07326,13,2,11,"{""finalize"": 927, ""force_grounded_step"": 67, ""repair_final"": 200, ""say_unknown"": 6}",external_generalization_v1,seed17,guided_v10_noharm
1200,224,235,0.186667,0.195833,0.009167,0.001697,0.016637,0.001667,0.001667,0.0,0.234167,0.918149,0.081851,16,5,11,"{""finalize"": 919, ""force_grounded_step"": 67, ""repair_final"": 196, ""say_unknown"": 18}",external_generalization_v1,seed17,guided_v12_hardened
1200,224,224,0.186667,0.186667,0.0,0.0,0.0,0.001667,0.001667,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 1200}",external_generalization_v1,seed17,router_off
1200,224,224,0.186667,0.186667,0.0,0.0,0.0,0.001667,0.001667,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 1200}",external_generalization_v1,seed23,base
1200,224,225,0.186667,0.1875,0.000833,-0.00282,0.004487,0.001667,0.001667,0.0,0.0475,0.649123,0.350877,3,2,1,"{""finalize"": 1143, ""force_grounded_step"": 55, ""repair_final"": 1, ""say_unknown"": 1}",external_generalization_v1,seed23,guided_v10_noharm
1200,224,225,0.186667,0.1875,0.000833,-0.004586,0.006253,0.001667,0.001667,0.0,0.0575,0.666667,0.333333,6,5,1,"{""finalize"": 1131, ""force_grounded_step"": 55, ""repair_final"": 1, ""say_unknown"": 13}",external_generalization_v1,seed23,guided_v12_hardened
1200,224,224,0.186667,0.186667,0.0,0.0,0.0,0.001667,0.001667,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 1200}",external_generalization_v1,seed23,router_off
300,93,93,0.31,0.31,0.0,0.0,0.0,0.013333,0.013333,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 300}",internal_global_heldout,seed13,base
300,93,141,0.31,0.47,0.16,0.118445,0.201555,0.013333,0.013333,0.0,0.216667,0.784615,0.215385,48,0,48,"{""finalize"": 235, ""force_grounded_step"": 6, ""say_unknown"": 59}",internal_global_heldout,seed13,guided_v10_noharm
300,93,142,0.31,0.473333,0.163333,0.121431,0.205235,0.013333,0.013333,0.0,0.22,0.787879,0.212121,49,0,49,"{""finalize"": 234, ""force_grounded_step"": 6, ""say_unknown"": 60}",internal_global_heldout,seed13,guided_v12_hardened
300,93,141,0.31,0.47,0.16,0.118445,0.201555,0.013333,0.013333,0.0,0.17,1.0,0.0,48,0,48,"{""finalize"": 249, ""force_grounded_step"": 3, ""say_unknown"": 48}",internal_global_heldout,seed13,oracle_noharm
300,93,93,0.31,0.31,0.0,0.0,0.0,0.013333,0.013333,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 300}",internal_global_heldout,seed13,router_off
300,93,93,0.31,0.31,0.0,0.0,0.0,0.013333,0.013333,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 300}",internal_global_heldout,seed17,base
300,93,142,0.31,0.473333,0.163333,0.121431,0.205235,0.013333,0.013333,0.0,0.22,0.787879,0.212121,49,0,49,"{""finalize"": 234, ""force_grounded_step"": 6, ""say_unknown"": 60}",internal_global_heldout,seed17,guided_v10_noharm
300,93,142,0.31,0.473333,0.163333,0.121431,0.205235,0.013333,0.013333,0.0,0.22,0.787879,0.212121,49,0,49,"{""finalize"": 234, ""force_grounded_step"": 6, ""say_unknown"": 60}",internal_global_heldout,seed17,guided_v12_hardened
300,93,142,0.31,0.473333,0.163333,0.121431,0.205235,0.013333,0.013333,0.0,0.173333,1.0,0.0,49,0,49,"{""finalize"": 248, ""force_grounded_step"": 3, ""say_unknown"": 49}",internal_global_heldout,seed17,oracle_noharm
300,93,93,0.31,0.31,0.0,0.0,0.0,0.013333,0.013333,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 300}",internal_global_heldout,seed17,router_off
300,93,93,0.31,0.31,0.0,0.0,0.0,0.013333,0.013333,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 300}",internal_global_heldout,seed23,base
300,93,141,0.31,0.47,0.16,0.118445,0.201555,0.013333,0.013333,0.0,0.216667,0.784615,0.215385,48,0,48,"{""finalize"": 235, ""force_grounded_step"": 6, ""say_unknown"": 59}",internal_global_heldout,seed23,guided_v10_noharm
300,93,142,0.31,0.473333,0.163333,0.121431,0.205235,0.013333,0.013333,0.0,0.22,0.787879,0.212121,49,0,49,"{""finalize"": 234, ""force_grounded_step"": 6, ""say_unknown"": 60}",internal_global_heldout,seed23,guided_v12_hardened
300,93,141,0.31,0.47,0.16,0.118445,0.201555,0.013333,0.013333,0.0,0.17,1.0,0.0,48,0,48,"{""finalize"": 249, ""force_grounded_step"": 3, ""say_unknown"": 48}",internal_global_heldout,seed23,oracle_noharm
300,93,93,0.31,0.31,0.0,0.0,0.0,0.013333,0.013333,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 300}",internal_global_heldout,seed23,router_off
