n,base_correct,guided_correct,base_acc,guided_acc,delta_acc,delta_ci95_low,delta_ci95_high,base_unsupported_rate,guided_unsupported_rate,unsupported_delta,intervention_rate,intervention_precision,false_intervention_rate,helped,harmed,net,actions,suite,condition,student_id
1200,369,369,0.3075,0.3075,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 1200}",external_generalization_v1,base,qwen3_17b
1200,102,102,0.085,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 1200}",external_generalization_v1,base,smollm2_17b
1200,201,201,0.1675,0.1675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 1200}",external_generalization_v1,base,tinyllama_11b
1200,369,392,0.3075,0.326667,0.019167,0.011406,0.026928,0.005,0.005,0.0,0.118333,0.661972,0.338028,23,0,23,"{""finalize"": 1058, ""force_grounded_step"": 117, ""repair_final"": 16, ""rollback"": 8, ""say_unknown"": 1}",external_generalization_v1,guided_v10_noharm,qwen3_17b
1200,102,105,0.085,0.0875,0.0025,-0.000327,0.005327,0.0,0.0,0.0,0.306667,0.983696,0.016304,3,0,3,"{""finalize"": 832, ""force_grounded_step"": 28, ""repair_final"": 185, ""rollback"": 148, ""say_unknown"": 7}",external_generalization_v1,guided_v10_noharm,smollm2_17b
1200,201,195,0.1675,0.1625,-0.005,-0.008992,-0.001008,0.0,0.0,0.0,0.0275,0.818182,0.181818,0,6,-6,"{""finalize"": 1167, ""force_grounded_step"": 33}",external_generalization_v1,guided_v10_noharm,tinyllama_11b
1200,369,392,0.3075,0.326667,0.019167,0.010434,0.027899,0.005,0.005,0.0,0.128333,0.668831,0.331169,26,3,23,"{""finalize"": 1046, ""force_grounded_step"": 117, ""repair_final"": 16, ""rollback"": 8, ""say_unknown"": 13}",external_generalization_v1,guided_v12_hardened,qwen3_17b
1200,102,108,0.085,0.09,0.005,0.001008,0.008992,0.0,0.0,0.0,0.310833,0.983914,0.016086,6,0,6,"{""finalize"": 827, ""force_grounded_step"": 28, ""repair_final"": 181, ""rollback"": 145, ""say_unknown"": 19}",external_generalization_v1,guided_v12_hardened,smollm2_17b
1200,201,192,0.1675,0.16,-0.0075,-0.013814,-0.001186,0.0,0.0,0.0,0.0375,0.733333,0.266667,3,12,-9,"{""finalize"": 1155, ""force_grounded_step"": 33, ""say_unknown"": 12}",external_generalization_v1,guided_v12_hardened,tinyllama_11b
1200,369,369,0.3075,0.3075,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0,0,0,"{""finalize"": 1200}",external_generalization_v1,router_off,qwen3_17b
